Pathway	PWilcoxon_Q	Biserial_Cor	BodySite_Q
Terpenoid backbone biosynthesis	0.06528662	0.8418888	0.01734889
Type II diabetes mellitus	0.06528662	0.8194404	0.01734889
Selenocompound metabolism	0.1084656	0.8346171	0.01735079
Bacterial toxins	0.06528662	0.8276236	0.0175251
Glycosaminoglycan biosynthesis - chondroitin sulfate	0.06528662	-0.797264	0.0175251
Insulin signaling pathway	0.06528662	0.7927194	0.0175251
Lipid metabolism	0.06528662	0.857603	0.0175251
Plant-pathogen interaction	0.06528662	0.8301209	0.0175251
Transcription related proteins	0.06528662	-0.8266326	0.0175251
RNA polymerase	0.06528662	0.825773	0.01759431
Sphingolipid metabolism	0.06528662	0.8043909	0.01763121
Nucleotide excision repair	0.06528662	0.8213657	0.01765771
Drug metabolism - other enzymes	0.06528662	0.8260882	0.01796372
Bacterial chemotaxis	0.06528662	0.8200313	0.01800621
Glyoxylate and dicarboxylate metabolism	0.1084656	0.8574775	0.01800621
Riboflavin metabolism	0.06528662	0.7117916	0.01800621
Restriction enzyme	0.06528662	0.8473043	0.01807727
Xylene degradation	0.06528662	0.8079421	0.01863245
Primary bile acid biosynthesis	0.06528662	0.8791685	0.01879415
Protein processing in endoplasmic reticulum	0.06528662	0.8272686	0.01879415
Two-component system	0.1084656	0.7430581	0.02030041
Endocytosis	0.06528662	-0.7547494	0.02128788
Fc gamma R-mediated phagocytosis	0.06528662	-0.7547669	0.02128788
GnRH signaling pathway	0.06528662	-0.7547494	0.02128788
Streptomycin biosynthesis	0.06528662	0.7712086	0.02139952
Dioxin degradation	0.06528662	0.8003974	0.02212609
Phosphatidylinositol signaling system	0.06528662	0.7923245	0.0223401
Amino sugar and nucleotide sugar metabolism	0.1084656	0.7958129	0.02259637
Prenyltransferases	0.1084656	0.8069393	0.02259637
Staphylococcus aureus infection	0.06528662	-0.8029884	0.02280912
Other glycan degradation	0.06528662	0.7787261	0.02290669
Glutathione metabolism	0.06528662	-0.7368818	0.02371743
Lipopolysaccharide biosynthesis proteins	0.06528662	-0.7814067	0.0240809
Lysosome	0.06528662	0.7812022	0.02425452
Synthesis and degradation of ketone bodies	0.06528662	-0.7404634	0.02425452
Chloroalkane and chloroalkene degradation	0.1084656	0.8322207	0.026656
Sulfur metabolism	0.06528662	0.7950083	0.02743244
Inositol phosphate metabolism	0.1084656	0.8273852	0.02762679
Phosphonate and phosphinate metabolism	0.06528662	0.7846399	0.02868374
Lipopolysaccharide biosynthesis	0.06528662	-0.7810625	0.02955732
Glycosaminoglycan degradation	0.06528662	0.7510901	0.02985111
Cell division	0.06528662	0.7819504	0.03133788
Polyketide sugar unit biosynthesis	0.06528662	0.7253766	0.03182404
Tryptophan metabolism	0.1084656	-0.7394955	0.03271778
Glycosphingolipid biosynthesis - globo series	0.06528662	0.7452387	0.0329698
Protein kinases	0.1084656	0.7457715	0.03301681
Steroid hormone biosynthesis	0.06528662	-0.7071364	0.03571781
Valine, leucine and isoleucine degradation	0.1084656	-0.7221482	0.03571781
African trypanosomiasis	0.06528662	-0.7439691	0.03585112
Nucleotide metabolism	0.1084656	0.7231927	0.03585112
Butirosin and neomycin biosynthesis	0.06528662	0.7292206	0.03630327
Zeatin biosynthesis	0.1084656	0.7538231	0.03809018
Limonene and pinene degradation	0.1084656	-0.7269754	0.03901564
Other ion-coupled transporters	0.1084656	0.7472464	0.04003035
Adipocytokine signaling pathway	0.1084656	0.7977684	0.04100482
Aminobenzoate degradation	0.06528662	-0.7383735	0.04237746
Chlorocyclohexane and chlorobenzene degradation	0.1084656	-0.7883969	0.04237746
Pertussis	0.1084656	-0.7401979	0.04237746
Renal cell carcinoma	0.1084656	-0.8015522	0.04237746
Chagas disease (American trypanosomiasis)	0.1084656	-0.7923631	0.04292358
Isoflavonoid biosynthesis	0.06528662	-0.5662815	0.04503393
Biosynthesis of vancomycin group antibiotics	0.1084656	0.7008741	0.04542681
Glycosyltransferases	0.1084656	0.753302	0.04592451
Huntington's disease	0.1084656	-0.7067553	0.04953887
